nohup: ignoring input
Loading files from: ../data/training_set/*/*.jpg
Starting Training:
>74, dA[0.110,0.075] dB[0.150,0.082] g[10.651,10.804] s_elaps=1267
>75, dA[0.183,0.068] dB[0.121,0.067] g[11.397,11.583] s_elaps=1283
>76, dA[0.126,0.103] dB[0.136,0.065] g[11.299,11.486] s_elaps=1300
>77, dA[0.211,0.075] dB[0.097,0.058] g[11.477,11.959] s_elaps=1316
>78, dA[0.145,0.144] dB[0.148,0.109] g[10.901,11.013] s_elaps=1332
>79, dA[0.200,0.068] dB[0.089,0.047] g[11.660,11.871] s_elaps=1348
>80, dA[0.180,0.193] dB[0.126,0.078] g[11.344,11.644] s_elaps=1364
>81, dA[0.270,0.096] dB[0.096,0.073] g[11.301,11.629] s_elaps=1380
>82, dA[0.132,0.108] dB[0.087,0.048] g[11.540,11.647] s_elaps=1397
>83, dA[0.301,0.066] dB[0.210,0.072] g[12.529,12.731] s_elaps=1413
>84, dA[0.118,0.060] dB[0.102,0.142] g[10.833,10.963] s_elaps=1429
>85, dA[0.139,0.053] dB[0.169,0.040] g[11.483,11.215] s_elaps=1445
>86, dA[0.081,0.037] dB[0.092,0.051] g[11.024,11.077] s_elaps=1461
>87, dA[0.115,0.039] dB[0.116,0.078] g[10.684,10.883] s_elaps=1477
>88, dA[0.102,0.038] dB[0.129,0.051] g[11.512,11.375] s_elaps=1494
>89, dA[0.077,0.030] dB[0.098,0.107] g[11.242,11.067] s_elaps=1510
>90, dA[0.103,0.044] dB[0.126,0.088] g[10.398,10.424] s_elaps=1526
>91, dA[0.101,0.078] dB[0.121,0.054] g[10.648,10.873] s_elaps=1542
>92, dA[0.070,0.031] dB[0.072,0.076] g[11.370,11.626] s_elaps=1558
>93, dA[0.175,0.047] dB[0.155,0.091] g[10.712,10.817] s_elaps=1574
>94, dA[0.063,0.046] dB[0.079,0.074] g[11.350,11.093] s_elaps=1590
>95, dA[0.108,0.034] dB[0.115,0.066] g[11.250,11.600] s_elaps=1607
>96, dA[0.096,0.055] dB[0.111,0.115] g[11.462,11.487] s_elaps=1623
>97, dA[0.074,0.030] dB[0.102,0.098] g[11.371,11.437] s_elaps=1639
>98, dA[0.078,0.041] dB[0.091,0.107] g[11.260,11.227] s_elaps=1655
>99, dA[0.093,0.039] dB[0.194,0.150] g[11.847,11.789] s_elaps=1671
>100, dA[0.133,0.064] dB[0.163,0.150] g[11.258,11.456] s_elaps=1687
>101, dA[0.095,0.037] dB[0.163,0.076] g[11.701,11.394] s_elaps=1704
>102, dA[0.157,0.082] dB[0.144,0.064] g[11.800,11.874] s_elaps=1720
>103, dA[0.072,0.056] dB[0.071,0.069] g[11.051,11.140] s_elaps=1736
>104, dA[0.077,0.027] dB[0.074,0.057] g[11.170,11.498] s_elaps=1752
>105, dA[0.119,0.058] dB[0.177,0.085] g[10.749,10.694] s_elaps=1768
>106, dA[0.078,0.049] dB[0.127,0.080] g[11.287,11.427] s_elaps=1784
>107, dA[0.101,0.063] dB[0.115,0.083] g[10.649,10.836] s_elaps=1801
>108, dA[0.083,0.063] dB[0.076,0.050] g[11.276,11.236] s_elaps=1817
>109, dA[0.067,0.057] dB[0.100,0.121] g[10.977,11.008] s_elaps=1833
>110, dA[0.131,0.052] dB[0.175,0.063] g[10.700,10.657] s_elaps=1849
>111, dA[0.067,0.052] dB[0.107,0.162] g[11.167,11.264] s_elaps=1865
